Target,Marital status,Application mode,Application order,Course,Daytime/evening attendance	=0,Daytime/evening attendance	=1,Previous qualification,Previous qualification (grade),Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Displaced=0,Displaced=1,Educational special needs=0,Educational special needs=1,Debtor=0,Debtor=1,Tuition fees up to date=0,Tuition fees up to date=1,Gender=0,Gender=1,Scholarship holder=0,Scholarship holder=1,Age at enrollment,International=0,International=1,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP
Dropout,-0.295,-1.011,3.252,0.44412,0,1,-0.350,0.6360,-0.126,0.669,0.960,-0.150,-0.160,0.0982,0,1,1,0,0,1,1,0,1,0,1,0,-0.694,1,0,-0.301,-0.109,-0.072,0.095,0.48712,-0.199,-0.282,-0.106,-0.016,0.187,0.224519,-0.199,-1.489,0.992,0.1401
Dropout,-0.295,-0.095,0.207,0.11067,0,1,-0.350,-0.9565,-0.126,-1.190,-1.387,-0.074,-0.041,-0.8272,1,0,1,0,1,0,1,0,1,0,1,0,-0.430,1,0,-0.301,-0.512,-0.072,-0.875,-0.0290766,-0.199,-0.282,-0.561,-0.016,-0.808,0.403654,-0.199,-1.489,0.992,0.1401
Graduate,-0.295,-0.095,0.207,0.11067,0,1,-0.350,2.5318,-0.126,-1.190,-0.213,-0.264,-0.318,2.1907,1,0,1,0,1,0,0,1,1,0,1,0,-0.694,1,0,-0.301,-0.109,-0.311,0.418,0.87058,-0.199,-0.282,-0.106,-0.269,0.519,0.723539,-0.199,-0.175,-0.454,0.8891
Graduate,-0.295,-1.011,1.730,0.31180,0,1,-0.350,1.0910,-0.126,-1.190,-1.387,-0.264,-0.080,-0.1711,0,1,1,0,1,0,0,1,1,0,0,1,-0.562,1,0,-0.301,0.697,0.646,0.741,0.458213,-0.199,-0.282,0.805,0.744,0.851,0.504738,-0.199,-0.288,0.124,0.7658
Graduate,-0.295,1.849,-0.554,0.18483,0,1,-0.350,-0.8807,-0.126,-1.062,-0.213,-0.301,-0.041,-1.0413,0,1,1,0,1,0,0,1,1,0,1,0,-0.430,1,0,1.818,1.907,0.886,2.034,0.224329,-0.199,2.324,2.171,1.504,2.178,0.339678,-0.199,0.313,-0.527,0.7878
Graduate,-0.295,1.449,-0.554,0.11067,0,1,3.370,1.3185,-0.126,1.182,0.960,-0.264,-0.199,1.5899,0,1,1,0,1,0,0,1,1,0,0,1,-0.167,1,0,0.970,-0.109,0.646,0.418,0.516617,-0.199,0.760,-0.106,0.491,-0.476,0.339678,-0.199,0.876,-1.105,0.3472
Dropout,-0.295,-0.095,-0.554,0.39420,0,1,-0.350,-0.6532,-0.126,1.118,-0.213,-0.226,-0.120,-0.8824,0,1,1,0,0,1,0,1,1,0,1,0,-0.694,1,0,-0.301,-0.109,-0.550,0.095,0.239346,-0.199,-0.282,-0.106,0.237,-0.145,0.668701,-0.199,-0.288,0.124,0.7658
Dropout,-0.295,-0.095,-0.554,0.14072,0,1,-0.350,-2.7765,-0.126,1.182,0.960,-0.188,-0.278,-2.1393,0,1,1,0,1,0,0,1,1,0,1,0,-0.562,1,0,-0.301,-0.512,0.407,-0.552,0.00533646,-0.199,-0.282,-0.561,0.237,-1.472,-1.96349,3.781,1.740,-0.671,-0.4062
Enrolled,-0.295,-0.095,1.730,0.10340,0,1,-0.350,-0.5773,-0.126,-1.190,-1.256,-0.301,-0.318,0.1327,1,0,1,0,1,0,0,1,1,0,0,1,-0.694,1,0,-0.301,-0.109,0.168,0.095,0.19805,-0.199,-0.282,-0.106,-0.016,-0.145,0.186133,-0.199,-1.001,0.124,1.5456
Enrolled,-0.295,-0.095,-0.554,0.19258,0,1,-0.350,0.2568,-0.126,1.118,0.960,-0.150,-0.160,-0.3645,0,1,1,0,1,0,0,1,1,0,1,0,-0.430,1,0,-0.301,-0.109,1.125,-0.552,-0.0634898,-0.199,-0.282,-0.106,0.997,-0.476,0.0197933,-0.199,-0.288,0.124,0.7658
Enrolled,-0.295,-1.011,-0.554,0.44412,0,1,-0.350,-0.9565,-0.126,1.182,0.960,-0.074,-0.080,-0.8410,0,1,0,1,1,0,0,1,1,0,1,0,-0.562,1,0,-0.301,-0.109,0.646,-0.228,0.332261,-0.199,-0.282,-0.106,0.744,-0.476,0.147747,-0.199,-1.489,0.992,0.1401
Enrolled,-0.295,-1.011,-0.554,0.19258,0,1,-0.350,-0.3498,-0.126,-0.036,1.025,-0.074,-0.080,0.0015,1,0,1,0,1,0,0,1,1,0,1,0,-0.562,1,0,-0.301,-0.109,-0.550,0.418,0.280641,-0.199,-0.282,-0.106,-0.269,-0.145,0.483625,-0.199,0.313,-0.527,0.7878
Graduate,-0.295,-0.095,-0.554,0.31180,0,1,-0.350,0.7118,-0.126,1.118,0.960,-0.226,-0.239,0.2985,0,1,1,0,1,0,0,1,1,0,1,0,-0.562,1,0,-0.301,0.697,-0.072,0.741,0.844623,-0.199,-0.282,0.805,-0.016,0.851,0.863922,-0.199,-0.288,0.124,0.7658
Graduate,-0.295,-1.011,-0.554,-4.20952,0,1,-0.350,0.1810,-0.126,-1.190,-0.213,-0.301,-0.080,0.6990,0,1,1,0,1,0,0,1,1,0,1,0,-0.694,1,0,-0.301,-2.529,-1.986,-1.521,-2.1971,-0.199,-0.282,-2.838,-2.043,-1.472,-1.96349,-0.199,0.426,1.788,-0.7499
Graduate,-0.295,-0.667,-0.554,0.10340,0,1,3.468,-0.9565,-0.126,-1.190,-0.213,-0.301,-0.080,-0.4819,0,1,1,0,1,0,0,1,1,0,1,0,-0.299,1,0,3.512,2.714,1.364,2.681,0.614184,1.248,2.845,2.627,0.997,2.509,0.771521,-0.199,0.876,-1.105,0.3472
Graduate,-0.295,1.163,-0.554,0.54977,1,0,3.468,0.5602,-0.126,-1.190,-0.213,-0.074,-0.080,0.8302,1,0,1,0,1,0,0,1,1,0,1,0,0.492,1,0,-0.301,-0.512,-0.790,0.095,1.06526,-0.199,-0.282,-0.561,-0.776,0.187,0.877083,-0.199,-1.001,0.124,1.5456
Graduate,-0.295,-0.095,-0.554,0.18483,0,1,-0.350,0.1810,-0.126,-1.190,-0.213,-0.264,-0.278,0.1465,1,0,1,0,1,0,0,1,1,0,1,0,-0.562,1,0,-0.301,-0.109,-0.550,0.418,0.831251,-0.199,-0.282,-0.106,-0.269,0.519,0.833213,-0.199,1.477,1.137,-1.7897
Dropout,4.658,1.163,-0.554,0.11067,0,1,-0.350,0.0369,-0.126,0.925,0.764,-0.415,-0.437,0.0844,1,0,1,0,1,0,0,1,1,0,1,0,0.229,1,0,-0.301,-0.512,-0.790,-1.521,-2.1971,-0.199,-0.282,-0.561,-0.776,-1.472,-1.96349,-0.199,-1.489,0.992,0.1401
Graduate,-0.295,-1.011,0.207,0.31180,0,1,-0.350,0.3327,-0.126,-0.036,-0.213,-0.150,-0.160,-0.4267,0,1,1,0,1,0,0,1,1,0,0,1,-0.694,1,0,-0.301,0.697,-0.072,0.741,0.828695,-0.199,-0.282,0.805,-0.016,0.851,0.849116,-0.199,-0.288,0.124,0.7658
Graduate,-0.295,1.163,-0.554,0.31180,0,1,-0.154,-0.8048,-0.126,-0.036,-1.387,-0.264,-0.120,0.6092,1,0,1,0,1,0,0,1,1,0,1,0,0.097,1,0,-0.301,0.697,-0.072,0.741,0.363528,-0.199,-0.282,0.805,-0.016,0.851,0.416724,-0.199,-0.288,0.124,0.7658
Graduate,-0.295,-1.011,0.968,0.31180,0,1,-0.350,-0.3498,-0.126,-1.190,-1.387,-0.264,-0.041,-0.5579,0,1,1,0,1,0,0,1,1,0,1,0,-0.430,1,0,-0.301,0.294,-0.072,0.741,0.195469,-0.199,-0.282,0.805,0.237,0.851,0.737248,-0.199,0.876,-1.105,0.3472
Graduate,-0.295,-0.667,-0.554,0.54977,1,0,3.468,0.5602,-0.126,1.118,0.960,-0.188,-0.199,0.8993,1,0,1,0,1,0,0,1,1,0,1,0,0.360,1,0,0.970,-0.512,-0.790,0.095,0.693599,-0.199,0.239,-0.561,-0.776,0.187,1.03063,-0.199,0.313,-0.527,0.7878
Graduate,-0.295,-1.011,-0.554,0.18483,0,1,-0.350,-0.0465,-0.126,-1.190,1.025,-0.074,-0.160,0.0084,0,1,1,0,1,0,0,1,1,0,0,1,-0.430,1,0,-0.301,-0.109,0.168,0.418,0.349468,-0.199,-0.282,-0.106,-0.523,0.519,0.307689,-0.199,-1.001,0.124,1.5456
Graduate,-0.295,-1.011,-0.554,0.11067,0,1,-0.350,-0.1223,-0.126,1.118,0.960,2.992,3.126,0.6921,1,0,1,0,1,0,0,1,1,0,1,0,-0.694,1,0,-0.301,-0.512,-0.790,0.095,0.693599,-0.199,-0.282,-0.561,-0.523,0.187,0.992241,-0.199,-1.489,0.992,0.1401
Graduate,-0.295,-1.011,-0.554,0.11067,0,1,-0.350,-0.5015,-0.126,-1.190,-1.387,-0.074,-0.080,0.0291,0,1,1,0,1,0,0,1,1,0,1,0,-0.562,1,0,-0.301,-0.109,1.125,0.418,0.947726,-0.199,-0.282,-0.106,0.491,0.519,0.411651,-0.199,1.477,1.137,-1.7897
Dropout,-0.295,-1.011,-0.554,0.48289,0,1,-0.350,0.0369,-0.126,-0.036,-0.213,-0.074,-0.080,-2.0703,0,1,1,0,1,0,0,1,1,0,1,0,-0.035,1,0,-0.301,-0.109,0.168,0.095,0.19805,-0.199,-0.282,-0.106,0.237,-0.476,0.147747,-0.199,0.426,1.788,-0.7499
Graduate,-0.295,-1.011,1.730,0.31180,0,1,-0.350,0.2568,-0.126,1.118,0.960,-0.074,-0.080,-0.0468,0,1,1,0,1,0,0,1,1,0,0,1,-0.694,1,0,-0.301,0.294,-0.311,0.418,0.19805,-0.199,-0.282,0.350,-0.269,0.519,0.262905,-0.199,-1.489,0.992,0.1401
Dropout,-0.295,-1.011,1.730,0.31180,0,1,-0.350,0.5602,-0.126,-1.190,-0.213,-0.264,-0.239,0.0360,1,0,1,0,1,0,0,1,1,0,1,0,-0.694,1,0,-0.301,0.294,-1.986,-1.521,-2.1971,-0.199,-0.282,0.805,-2.043,-1.472,-1.96349,-0.199,0.426,1.788,-0.7499
Graduate,-0.295,-1.011,-0.554,0.31180,0,1,-0.350,0.1810,-0.126,-1.126,-1.387,-0.339,-0.120,-0.0261,1,0,1,0,1,0,0,1,1,0,0,1,-0.562,1,0,-0.301,0.294,-0.311,0.741,0.466767,-0.199,-0.282,0.805,0.237,1.182,0.549735,-0.199,-0.175,-0.454,0.8891
Graduate,-0.295,1.335,-0.554,0.54977,1,0,-0.350,2.0768,-0.126,-1.190,-1.322,-0.264,-0.318,-0.4819,1,0,1,0,1,0,0,1,1,0,1,0,0.888,1,0,1.394,0.294,0.168,0.741,0.723096,-0.199,0.239,-0.561,-0.776,0.187,0.877083,-0.199,-1.489,0.992,0.1401
Dropout,-0.295,1.449,-0.554,0.11067,0,1,3.370,0.5602,-0.126,-1.190,-1.322,-0.264,-0.199,0.8993,0,1,1,0,1,0,0,1,1,0,1,0,0.756,1,0,-0.301,-0.109,-1.986,-1.521,-2.1971,-0.199,-0.282,-0.106,-2.043,-1.472,-1.96349,-0.199,1.477,1.137,-1.7897
Graduate,-0.295,-1.011,3.252,0.31180,0,1,-0.350,0.5602,-0.126,-1.062,-1.387,-0.301,-0.318,0.3123,0,1,1,0,1,0,0,1,1,0,1,0,-0.562,1,0,-0.301,0.697,-0.072,1.064,0.539514,-0.199,-0.282,0.805,-0.016,1.182,0.58031,-0.199,-0.813,-1.467,-1.3755
Graduate,-0.295,-0.095,3.252,0.33895,0,1,-0.350,-1.3357,-0.126,-0.036,-1.322,-0.226,-0.318,-1.0206,0,1,1,0,1,0,0,1,1,0,1,0,-0.430,1,0,-0.301,0.294,-0.311,0.741,0.649353,-0.199,-0.282,0.805,-0.016,1.182,0.742732,-0.199,0.313,-0.527,0.7878
Graduate,-0.295,-1.011,-0.554,0.31180,0,1,-0.350,0.8635,-0.126,1.118,0.960,-0.074,-0.318,1.6244,1,0,1,0,1,0,0,1,1,0,1,0,-0.430,1,0,-0.301,0.294,-0.311,0.418,0.676392,-0.199,-0.282,0.350,-0.269,0.519,0.707544,-0.199,-1.489,0.992,0.1401
Graduate,-0.295,-1.011,1.730,0.39420,0,1,-0.350,-0.3498,-0.126,1.182,1.025,-0.301,-0.160,-0.4128,0,1,1,0,1,0,0,1,1,0,1,0,-0.562,1,0,-0.301,-0.109,-0.072,0.418,0.590359,-0.199,-0.282,-0.106,0.237,0.519,0.641283,-0.199,-0.175,-0.454,0.8891
Enrolled,-0.295,-0.095,-0.554,0.14072,0,1,-0.350,-1.2598,-0.126,1.182,-1.322,-0.074,-0.358,-1.0206,0,1,1,0,1,0,0,1,1,0,1,0,-0.430,1,0,-0.301,-0.512,-0.072,-0.552,0.142989,-0.199,-0.282,-0.561,0.997,-0.808,0.0837702,-0.199,-0.288,0.124,0.7658
Dropout,3.007,-1.011,0.207,0.11067,0,1,-0.350,0.1810,-0.126,-0.036,-1.387,-0.264,-0.278,0.1673,0,1,1,0,1,0,0,1,1,0,1,0,-0.299,1,0,-0.301,-0.512,-0.072,-1.521,-2.1971,5.591,-0.282,-0.561,0.997,-1.472,-1.96349,5.108,-0.288,0.124,0.7658
Graduate,-0.295,-0.095,-0.554,0.39420,0,1,-0.350,-0.8807,-0.126,-0.036,1.025,-0.264,-0.041,-0.8686,1,0,1,0,1,0,0,1,1,0,1,0,-0.562,1,0,-0.301,-0.109,0.407,0.095,0.177402,-0.199,-0.282,-0.106,0.237,-0.145,0.838697,-0.199,-0.175,-0.454,0.8891
Graduate,-0.295,-1.011,0.968,0.31180,0,1,-0.350,0.1052,-0.126,1.118,1.025,-0.074,-0.080,-0.4612,0,1,1,0,1,0,0,1,1,0,0,1,-0.694,1,0,-0.301,0.697,-0.072,0.741,0.29775,-0.199,-0.282,0.805,-0.016,0.851,0.35558,-0.199,-0.288,0.124,0.7658
Graduate,-0.295,1.163,-0.554,-0.40839,1,0,-0.350,-0.9565,-0.126,1.118,0.960,-0.150,-0.120,-0.4819,1,0,1,0,1,0,0,1,1,0,0,1,0.492,1,0,-0.301,-0.109,-0.072,0.418,0.246228,-0.199,-0.282,-0.106,0.491,0.187,0.493222,-0.199,1.477,1.137,-1.7897
Graduate,-0.295,-0.095,0.207,0.14072,0,1,-0.350,-0.5773,-0.126,1.182,1.025,-0.188,-0.120,-0.8617,0,1,1,0,1,0,0,1,1,0,0,1,-0.562,1,0,-0.301,-0.512,-0.550,0.095,0.569711,-0.199,-0.282,-0.561,-0.776,0.187,0.41645,-0.199,0.313,-0.527,0.7878
Dropout,-0.295,-1.011,-0.554,0.31180,0,1,-0.350,0.6360,-0.126,-1.190,-1.387,2.992,-0.318,0.0568,1,0,1,0,1,0,0,1,1,0,0,1,-0.562,1,0,-0.301,0.294,-0.311,-1.521,-2.1971,2.696,-0.282,0.350,-0.269,-1.472,-1.96349,2.454,-1.489,0.992,0.1401
Graduate,-0.295,-1.011,-0.554,0.44412,0,1,-0.350,0.5602,-0.126,-1.190,-0.213,-0.264,-0.120,-0.1642,0,1,1,0,1,0,0,1,1,0,1,0,-0.562,1,0,-0.301,-0.109,-0.311,0.095,0.734894,-0.199,-0.282,-0.106,-0.269,0.519,0.833213,-0.199,1.477,1.137,-1.7897
Graduate,-0.295,-1.011,3.252,0.31180,0,1,-0.350,0.8635,-0.126,-0.036,-0.213,-0.226,-0.239,0.2294,0,1,1,0,1,0,0,1,1,0,0,1,-0.694,1,0,-0.301,0.697,-0.072,0.741,0.655253,-0.199,-0.282,0.805,-0.016,0.851,0.687894,-0.199,0.426,1.788,-0.7499
Enrolled,-0.295,-0.095,-0.554,0.19258,0,1,-0.350,-0.8048,-0.126,-0.036,-0.213,-0.226,-0.239,-0.6062,1,0,1,0,1,0,0,1,1,0,0,1,-0.430,1,0,-0.301,-0.109,0.407,-0.228,0.125782,-0.199,-0.282,-0.106,-0.523,0.519,0.0517818,-0.199,0.313,-0.527,0.7878
Graduate,-0.295,-1.011,-0.554,0.39420,0,1,-0.350,-0.1982,-0.126,-0.036,0.960,-0.264,-0.239,-0.5648,1,0,1,0,1,0,0,1,1,0,0,1,-0.694,1,0,-0.301,-0.109,-0.550,0.418,0.796838,-0.199,-0.282,-0.106,-0.016,0.519,0.659562,-0.199,0.426,1.788,-0.7499
Dropout,-0.295,-1.011,2.491,0.39420,0,1,-0.350,0.0369,-0.126,-0.677,-1.387,-0.339,-0.278,0.4159,0,1,1,0,1,0,0,1,1,0,1,0,-0.562,1,0,-0.301,-0.109,-1.986,-1.521,-2.1971,-0.199,-0.282,-0.106,-2.043,-1.472,-1.96349,-0.199,-1.489,0.992,0.1401
Graduate,1.356,1.163,-0.554,0.31180,0,1,1.412,0.0369,-0.126,1.118,0.960,-0.074,-0.080,0.1396,0,1,1,0,1,0,0,1,1,0,1,0,1.679,1,0,-0.301,0.294,-0.311,0.418,0.136106,-0.199,-0.282,0.350,-0.269,0.519,0.205326,-0.199,-1.489,0.992,0.1401
Enrolled,-0.295,1.392,-0.554,0.33895,0,1,-0.350,1.0910,-0.126,-1.062,-1.191,-0.301,-0.358,-1.8631,1,0,1,0,1,0,0,1,1,0,1,0,-0.694,1,0,-0.301,-1.722,-1.507,-1.521,-2.1971,-0.199,-0.282,-1.017,-1.029,-1.140,1.1074,-0.199,-0.288,0.124,0.7658
Enrolled,-0.295,1.392,-0.554,0.13248,0,1,-0.350,-0.4257,-0.126,-0.036,1.025,-0.264,-0.239,-0.4336,0,1,1,0,0,1,0,1,1,0,1,0,-0.694,1,0,-0.301,-0.512,0.646,-1.198,0.280641,-0.199,-0.282,-0.561,0.237,-0.476,0.339678,-0.199,0.426,1.788,-0.7499
Graduate,-0.295,-0.095,3.252,0.31180,0,1,-0.350,0.2568,-0.126,-0.036,1.025,-0.074,-0.318,0.3813,0,1,1,0,1,0,0,1,1,0,1,0,-0.562,1,0,-0.301,0.697,0.168,0.741,0.342585,-0.199,-0.282,0.805,0.237,0.851,0.397257,-0.199,0.426,1.788,-0.7499
Graduate,-0.295,-1.011,2.491,0.31180,0,1,-0.350,-0.4257,-0.126,-0.036,-0.213,-0.150,-0.120,-0.4612,0,1,1,0,1,0,0,1,1,0,0,1,-0.694,1,0,-0.301,0.697,-0.072,0.741,0.423996,-0.199,-0.282,0.805,-0.016,0.851,0.472932,-0.199,-0.288,0.124,0.7658
Graduate,-0.295,-0.095,-0.554,0.39420,0,1,-0.350,-0.7290,-0.126,-0.036,-0.213,-0.377,-0.397,-0.8548,1,0,1,0,1,0,0,1,1,0,1,0,-0.694,1,0,-0.301,-0.512,-0.790,-0.228,0.0741627,-0.199,-0.282,-0.561,-0.776,-0.145,0.147747,-0.199,-0.813,-1.467,-1.3755
Graduate,-0.295,-1.011,-0.554,0.18483,0,1,-0.350,-0.3498,-0.126,1.118,-0.213,-0.074,-0.318,-0.7236,0,1,1,0,1,0,0,1,1,0,0,1,-0.562,1,0,-0.301,-0.109,-0.550,0.418,0.48712,-0.199,-0.282,-0.106,-0.523,0.519,0.755527,-0.199,0.313,-0.527,0.7878
Graduate,-0.295,-1.011,-0.554,0.31180,0,1,-0.350,-0.3498,-0.126,-1.062,-1.387,-0.339,-0.397,0.0568,1,0,1,0,1,0,0,1,1,0,0,1,-0.562,1,0,-0.301,0.294,-0.072,0.741,0.778771,-0.199,-0.282,0.805,-0.016,1.182,1.117,-0.199,0.876,-1.105,0.3472
Dropout,-0.295,-1.011,0.207,0.31180,0,1,-0.350,0.5602,-0.126,-1.190,-0.213,-0.150,-0.160,0.2018,0,1,1,0,1,0,0,1,1,0,1,0,-0.694,1,0,-0.301,0.294,-0.072,0.741,0.472408,-0.199,-0.282,0.805,-0.016,1.182,0.735534,-0.199,1.477,1.137,-1.7897
Graduate,-0.295,-1.011,0.207,0.44412,0,1,-0.350,-0.8807,-0.126,-1.190,-0.213,-0.074,-0.160,-0.5579,0,1,1,0,1,0,0,1,1,0,1,0,-0.430,1,0,-0.301,-0.109,-0.550,0.418,0.555946,-0.199,-0.282,-0.106,0.491,0.187,0.493222,-0.199,-0.175,-0.454,0.8891
Enrolled,-0.295,-1.011,0.968,0.19258,0,1,-0.350,-0.8048,-0.126,-0.036,1.025,-0.301,-0.041,-0.8755,0,1,1,0,1,0,0,1,1,0,0,1,-0.430,1,0,-0.301,-0.109,-0.072,0.095,0.445824,-0.199,-0.282,-0.106,0.237,0.187,0.493222,-0.199,0.313,-0.527,0.7878
Graduate,-0.295,-0.038,-0.554,0.31180,0,1,-0.350,-0.5015,-0.126,1.182,0.960,-0.226,-0.239,-0.8410,0,1,1,0,1,0,0,1,1,0,1,0,-0.430,1,0,-0.301,0.697,-0.072,0.741,0.77678,-0.199,-0.282,0.805,-0.016,0.851,0.800859,-0.199,-0.288,0.124,0.7658
Graduate,-0.295,-1.011,1.730,0.31180,0,1,-0.350,0.1810,-0.126,1.118,0.960,-0.074,-0.120,-0.2747,0,1,1,0,1,0,0,1,1,0,0,1,-0.694,1,0,-0.301,0.697,-0.072,0.741,0.565877,-0.199,-0.282,0.805,-0.016,0.851,0.604816,-0.199,-0.288,0.124,0.7658
Graduate,-0.295,-1.011,0.207,0.31180,0,1,-0.350,-0.1223,-0.126,-0.036,-0.213,-0.150,-0.239,-0.3369,0,1,1,0,1,0,0,1,1,0,1,0,-0.694,1,0,-0.301,0.294,-0.072,0.741,0.720699,-0.199,-0.282,0.805,-0.016,1.182,0.72042,-0.199,1.477,1.137,-1.7897
Graduate,-0.295,-0.095,1.730,0.11067,0,1,-0.350,0.5602,-0.126,-0.036,0.960,-0.264,-0.160,-0.2264,1,0,1,0,1,0,0,1,1,0,1,0,-0.562,1,0,-0.301,-0.512,0.646,0.095,0.221647,2.696,-0.282,-0.561,-0.523,0.187,0.454836,-0.199,-0.813,-1.467,-1.3755
Enrolled,-0.295,-1.011,0.968,0.14072,0,1,-0.350,-0.1223,-0.126,-0.036,1.025,-0.074,-0.160,0.3744,0,1,1,0,1,0,0,1,1,0,1,0,-0.562,1,0,-0.301,-0.512,-0.790,0.095,0.239346,-0.199,-0.282,-0.561,-0.016,-0.145,0.19573,-0.199,-0.813,-1.467,-1.3755
Graduate,1.356,1.163,-0.554,-0.40839,1,0,-0.350,-0.1982,-0.126,0.925,0.764,3.333,3.482,-0.8410,1,0,1,0,1,0,0,1,1,0,1,0,2.733,1,0,-0.301,-0.109,0.168,0.418,0.108576,-0.199,0.239,-0.106,1.757,-0.808,0.147747,1.127,-1.489,0.992,0.1401
Dropout,-0.295,-0.667,-0.554,0.07093,0,1,-0.154,-0.1982,-0.126,1.182,0.960,-0.226,-0.199,0.2087,1,0,1,0,1,0,0,1,1,0,1,0,1.151,1,0,-0.301,-0.109,-0.311,-1.521,-2.1971,-0.199,-0.282,-0.106,-0.523,-1.472,-1.96349,-0.199,0.313,-0.527,0.7878
Dropout,-0.295,1.392,-0.554,0.48289,0,1,-0.350,0.5602,-0.126,1.118,-0.213,-0.074,-0.120,-0.3231,1,0,1,0,1,0,0,1,1,0,1,0,-0.167,1,0,-0.301,-0.109,0.168,0.095,0.611007,-0.199,-0.282,-0.106,-0.016,0.187,0.339678,-0.199,0.426,1.788,-0.7499
Graduate,1.356,1.163,-0.554,0.07093,0,1,-0.350,-0.1982,-0.126,-1.190,-0.213,-0.264,-0.080,1.7556,0,1,1,0,1,0,0,1,1,0,1,0,1.679,1,0,1.394,2.310,1.364,2.357,0.661833,-0.199,2.324,2.627,2.517,2.178,0.740987,-0.199,-1.001,0.124,1.5456
Graduate,-0.295,-0.095,-0.554,0.44412,0,1,-0.350,-0.5773,-0.126,1.118,0.960,-0.226,-0.160,-0.4750,1,0,1,0,1,0,0,1,1,0,0,1,-0.694,1,0,-0.301,-0.109,-0.311,0.418,0.383881,-0.199,-0.282,-0.106,-0.016,0.519,0.595585,-0.199,1.740,-0.671,-0.4062
Graduate,-0.295,-1.011,-0.554,0.13248,0,1,-0.350,2.0768,-0.126,-1.062,-1.256,-0.301,-0.358,1.9421,0,1,1,0,1,0,0,1,1,0,1,0,-0.430,1,0,-0.301,-0.512,-0.790,0.095,1.18915,-0.199,-0.282,-0.561,-0.776,0.187,0.838697,-0.199,0.426,1.788,-0.7499
Graduate,-0.295,1.849,-0.554,0.10340,0,1,-0.350,-0.1982,-0.126,-0.036,-0.213,-0.226,-0.160,-0.1711,1,0,1,0,1,0,0,1,1,0,0,1,-0.430,1,0,1.818,1.907,0.646,2.034,0.656057,-0.199,2.324,2.171,0.744,2.178,0.618849,-0.199,-0.175,-0.454,0.8891
Graduate,-0.295,-0.095,-0.554,0.18483,0,1,-0.350,0.8635,-0.126,-1.062,-1.387,-0.339,-0.318,-0.0054,1,0,1,0,1,0,0,1,1,0,1,0,-0.562,1,0,-0.301,-0.109,-0.072,0.095,-0.00842878,-0.199,-0.282,-0.106,0.744,-0.145,0.0517818,-0.199,1.477,1.137,-1.7897
Graduate,-0.295,1.163,-0.554,0.14072,0,1,1.412,0.0369,-0.126,-1.062,-1.387,-0.301,-0.239,1.8109,0,1,1,0,0,1,0,1,1,0,1,0,0.097,1,0,-0.301,-0.512,-0.072,0.095,-0.0910202,-0.199,-0.282,-0.561,-0.523,0.187,0.378064,-0.199,0.313,-0.527,0.7878
Enrolled,-0.295,-0.095,-0.554,0.18483,0,1,-0.350,1.1668,-0.126,-1.190,-1.387,-0.264,-0.080,0.1949,1,0,1,0,1,0,0,1,1,0,1,0,-0.430,1,0,-0.301,-0.109,0.646,0.095,-0.00842878,-0.199,-0.282,-0.106,0.744,-0.145,0.0325887,-0.199,1.477,1.137,-1.7897
Dropout,-0.295,1.392,-0.554,-0.40839,1,0,-0.350,0.0369,-0.126,-1.062,-1.256,-0.339,-0.318,0.5540,1,0,1,0,1,0,0,1,1,0,1,0,0.492,1,0,2.665,1.504,0.407,1.388,0.165931,-0.199,1.803,2.171,0.744,0.187,0.109361,-0.199,-0.288,0.124,0.7658
Enrolled,-0.295,-1.011,-0.554,0.48289,0,1,-0.350,0.0293,-0.126,-1.190,1.025,-0.226,-0.041,0.2985,0,1,1,0,1,0,0,1,1,0,1,0,-0.430,1,0,-0.301,-0.109,0.168,0.095,0.762425,-0.199,1.803,0.805,-0.016,1.182,0.459634,-0.199,1.477,1.137,-1.7897
Graduate,-0.295,1.392,3.252,0.18483,0,1,-0.350,-0.2740,-0.126,0.925,0.764,-0.415,-0.437,-0.1228,1,0,1,0,1,0,0,1,1,0,0,1,-0.035,1,0,6.054,3.923,2.322,3.650,0.48712,-0.199,5.452,3.082,1.757,2.841,0.58279,-0.199,-0.813,-1.467,-1.3755
Graduate,-0.295,-1.011,2.491,0.31180,0,1,-0.350,0.8635,-0.126,-0.036,1.025,-0.264,-0.120,0.9891,0,1,1,0,1,0,0,1,1,0,0,1,-0.694,1,0,-0.301,0.697,0.168,1.064,0.551128,1.248,-0.282,0.805,0.237,1.182,0.591106,1.127,-0.813,-1.467,-1.3755
Graduate,-0.295,-0.095,-0.554,0.18483,0,1,-0.350,-0.9565,-0.126,1.118,0.960,-0.264,-0.080,-0.6822,0,1,1,0,1,0,0,1,1,0,0,1,-0.694,1,0,-0.301,-0.109,0.407,0.095,-0.0143282,1.248,-0.282,-0.106,0.237,0.187,0.378064,-0.199,0.426,1.788,-0.7499
